Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
New England Patriots,12,2,0,.857,365,233,132,9.4,-2.1,7.3,3.4,3.9
Miami Dolphins,9,5,0,.643,315,314,1,0.1,-2.2,-2.2,-0.8,-1.3
Buffalo Bills,7,7,0,.500,358,314,44,3.1,-1.6,1.5,2.8,-1.2
New York Jets,4,10,0,.286,242,358,-116,-8.3,-1.0,-9.3,-5.3,-4.0
Pittsburgh Steelers,9,5,0,.643,341,276,65,4.6,0.6,5.3,2.4,2.9
Baltimore Ravens,8,6,0,.571,306,263,43,3.1,-1.1,1.9,-1.4,3.3
Cincinnati Bengals,5,8,1,.393,288,293,-5,-0.4,0.2,-0.2,-1.5,1.3
Cleveland Browns,0,14,0,.000,220,408,-188,-13.4,1.3,-12.1,-5.7,-6.4
Tennessee Titans,8,6,0,.571,340,323,17,1.2,-0.6,0.6,1.5,-0.9
Houston Texans,8,6,0,.571,250,294,-44,-3.1,0.7,-2.5,-4.5,2.1
Indianapolis Colts,7,7,0,.500,362,339,23,1.6,-0.5,1.2,4.0,-2.8
Jacksonville Jaguars,2,12,0,.143,260,359,-99,-7.1,0.9,-6.2,-3.0,-3.2
Oakland Raiders,11,3,0,.786,377,336,41,2.9,1.5,4.4,4.5,-0.1
Kansas City Chiefs,10,4,0,.714,319,274,45,3.2,1.0,4.2,-0.6,4.7
Denver Broncos,8,6,0,.571,299,258,41,2.9,1.5,4.5,-1.8,6.3
San Diego Chargers,5,9,0,.357,366,366,0,0.0,1.6,1.6,3.7,-2.1
