Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Dallas Cowboys,12,2,0,.857,366,258,108,7.7,-0.8,6.9,3.8,3.1
New York Giants,10,4,0,.714,272,250,22,1.6,-0.2,1.4,-3.0,4.4
Washington Redskins,7,6,1,.536,345,343,2,0.1,1.2,1.3,3.2,-1.9
Philadelphia Eagles,5,9,0,.357,316,299,17,1.2,1.3,2.6,0.9,1.6
Detroit Lions,9,5,0,.643,301,285,16,1.1,-1.2,-0.1,-1.2,1.1
Green Bay Packers,8,6,0,.571,363,339,24,1.7,0.4,2.1,4.1,-1.9
Minnesota Vikings,7,7,0,.500,264,259,5,0.4,0.0,0.4,-3.7,4.1
Chicago Bears,3,11,0,.214,248,320,-72,-5.1,-0.2,-5.4,-4.9,-0.5
Atlanta Falcons,9,5,0,.643,469,358,111,7.9,0.2,8.1,10.9,-2.8
Tampa Bay Buccaneers,8,6,0,.571,313,322,-9,-0.6,1.0,0.4,-0.5,0.9
Carolina Panthers,6,8,0,.429,337,352,-15,-1.1,0.6,-0.4,1.1,-1.6
New Orleans Saints,6,8,0,.429,406,392,14,1.0,0.3,1.3,6.9,-5.5
Seattle Seahawks,9,4,1,.679,298,235,63,4.5,-1.4,3.1,-2.8,5.9
Arizona Cardinals,5,8,1,.393,340,325,15,1.1,-1.9,-0.8,0.1,-0.9
Los Angeles Rams,4,10,0,.286,197,328,-131,-9.4,0.4,-8.9,-8.6,-0.4
San Francisco 49ers,1,13,0,.071,264,434,-170,-12.1,0.1,-12.1,-4.1,-8.0
