Team,Abr,Conf,Div
Arizona Cardinals,ARZ,NFC,W
Atlanta Falcons,ATL,NFC,S
Baltimore Ravens,BAL,AFC,N
Buffalo Bills,BUF,AFC,E
Carolina Panthers,CAR,NFC,S
Chicago Bears,CHI,NFC,N
Cincinnati Bengals,CIN,AFC,N
Cleveland Browns,CLE,AFC,N
Dallas Cowboys,DAL,NFC,E
Denver Broncos,DEN,AFC,W
Detroit Lions,DET,NFC,N
Green Bay Packers,GB,NFC,N
Houston Texans,HOU,AFC,S
Indianapolis Colts,IND,AFC,S
Jacksonville Jaguars,JAX,AFC,S
Kansas City Chiefs,KC,AFC,W
Los Angeles Rams,RAM,NFC,W
Miami Dolphins,MIA,AFC,E
Minnesota Vikings,MIN,NFC,N
New England Patriots,NE,AFC,E
New Orleans Saints,NO,NFC,S
New York Giants,NYG,NFC,E
New York Jets,NYJ,AFC,E
Oakland Raiders,OAK,AFC,W
Philadelphia Eagles,PHI,NFC,E
Pittsburgh Steelers,PIT,AFC,N
San Diego Chargers,SD,AFC,W
San Francisco 49ers,SF,NFC,W
Seattle Seahawks,SEA,NFC,W
Tampa Bay Buccaneers,TB,NFC,S
Tennessee Titans,TEN,AFC,S
Washington Redskins,WAS,NFC,E
